iter	Passed	Remaining
0	131	131809
1	132	66113
2	132	44197
3	133	33237
4	134	26679
5	134	22296
6	135	19176
7	135	16848
8	136	15032
9	137	13582
10	137	12390
11	138	11401
12	139	10560
13	139	9837
14	140	9209
15	140	8657
16	141	8168
17	141	7739
18	142	7354
19	143	7010
20	143	6693
21	144	6406
22	144	6151
23	145	5910
24	145	5692
25	146	5493
26	147	5302
27	147	5127
28	148	4966
29	148	4814
30	149	4675
31	150	4545
32	150	4421
33	151	4307
34	152	4198
35	152	4094
36	153	3994
37	154	3899
38	154	3811
39	155	3726
40	155	3644
41	156	3567
42	157	3494
43	157	3424
44	158	3356
45	158	3292
46	159	3230
47	159	3171
48	160	3120
49	161	3068
50	162	3021
51	163	2972
52	163	2925
53	164	2880
54	165	2838
55	165	2798
56	166	2760
57	167	2720
58	168	2682
59	168	2645
60	169	2608
61	170	2573
62	170	2539
63	171	2506
64	172	2474
65	172	2443
66	173	2413
67	173	2384
68	174	2356
69	175	2329
70	176	2304
71	176	2278
72	177	2253
73	178	2229
74	178	2204
75	179	2181
76	180	2159
77	180	2137
78	181	2115
79	182	2094
80	182	2073
81	183	2053
82	183	2030
83	184	2011
84	185	1993
85	185	1975
86	186	1957
87	187	1940
88	187	1923
89	188	1906
90	189	1890
91	189	1875
92	190	1859
93	191	1845
94	192	1833
95	193	1819
96	194	1806
97	194	1793
98	195	1780
99	196	1767
100	197	1754
101	197	1741
102	198	1729
103	199	1716
104	199	1704
105	200	1691
106	201	1679
107	201	1668
108	202	1656
109	203	1645
110	204	1633
111	204	1622
112	205	1611
113	206	1601
114	206	1591
115	207	1582
116	208	1571
117	209	1562
118	209	1553
119	210	1543
120	211	1534
121	212	1526
122	213	1519
123	213	1511
124	214	1502
125	215	1493
126	215	1483
127	216	1475
128	217	1466
129	217	1458
130	218	1449
131	219	1442
132	220	1434
133	220	1426
134	221	1418
135	222	1411
136	223	1405
137	223	1398
138	224	1391
139	225	1383
140	226	1376
141	226	1369
142	227	1363
143	228	1356
144	228	1349
145	229	1342
146	230	1335
147	230	1329
148	231	1322
149	232	1316
150	232	1309
151	233	1303
152	234	1296
153	234	1290
154	235	1284
155	236	1278
156	236	1272
157	237	1266
158	238	1261
